,Kategorie
0,Straftaten insgesamt
1,"Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB"
2,"Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB"
3,"Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen"
4,"Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte"
5,Handtaschenraub
6,"Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen"
7,Raubüberfälle in Wohnungen
8,"Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB"
9,Vorsätzliche einfache Körperverletzung § 223 StGB
10,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:"
11,Einfacher Ladendiebstahl
12,Diebstahl unter erschwerenden Umständen §§ 243-244a StGB und zwar:
13,"Wohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB"
14,"Tageswohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB"
15,Diebstahl insgesamt und zwar:
16,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme
17,Diebstahl insgesamt von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme
18,Diebstahl insgesamt von Fahrrädern einschl. unbefugte Ingebrauchnahme
19,Diebstahl insgesamt an/aus Kraftfahrzeugen
20,Taschendiebstahl insgesamt
21,"Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB"
22,Erschleichen von Leistungen § 265a StGB
23,Beförderungserschleichung
24,"Unterschlagung §§ 246, 247, 248a StGB"
25,"Urkundenfälschung §§ 267-271, 273-279, 281 StGB"
26,Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB
27,"Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB"
28,"Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114, 115 StGB"
29,"Begünstigung, Strafvereitelung (ohne Strafvereitelung im Amt), Hehlerei und Geldwäsche §§ 257, 258, 259-261 StGB"
30,"Brandstiftung und Herbeiführen einer Brandgefahr §§ 306-306d, 306f StGB"
31,Sachbeschädigung §§ 303-305a StGB
32,"Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU"
33,Rauschgiftdelikte (soweit nicht bereits mit anderer Schlüsselzahl erfasst)
34,"Straftaten insgesamt, jedoch ohne Verstöße gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU (Schlüssel 725000)"
35,Gewaltkriminalität
36,"Mord, Totschlag und Tötung auf Verlangen"
37,Computerkriminalität
38,Straßenkriminalität
39,Sachbeschädigung durch Graffiti insgesamt
40,"Unerlaubt eingereiste/aufhältige Personen (SZ: 725100, 725700)"
41,Cybercrime im engeren Sinne
